Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test1.in | Backtracking | 1 | 0 | 0.000001030000 | PASSED | 1
test1.in | Welsh-Powell | 1 | 0 | 0.000002966400 | PASSED | 1
test1.in | Greedy | 1 | 0 | 0.000001217800 | PASSED | 1
test2.in | Backtracking | 1 | 0 | 0.000001807800 | PASSED | 1
test2.in | Welsh-Powell | 1 | 0 | 0.000003305100 | PASSED | 1
test2.in | Greedy | 1 | 0 | 0.000001594900 | PASSED | 1
test3.in | Backtracking | 1 | 0 | 0.000001035100 | PASSED | 1
test3.in | Welsh-Powell | 1 | 0 | 0.000001622200 | PASSED | 1
test3.in | Greedy | 1 | 0 | 0.000000747800 | PASSED | 1
test4.in | Backtracking | 1 | 0 | 0.000000946300 | PASSED | 1
test4.in | Welsh-Powell | 1 | 0 | 0.000001493199 | PASSED | 1
test4.in | Greedy | 1 | 0 | 0.000000572999 | PASSED | 1
test5.in | Backtracking | 1 | 0 | 0.000000825799 | PASSED | 1
test5.in | Welsh-Powell | 1 | 0 | 0.000001469900 | PASSED | 1
test5.in | Greedy | 1 | 0 | 0.000000703600 | PASSED | 1
test6.in | Backtracking | 2 | 1 | 0.000001560601 | PASSED | 2
test6.in | Welsh-Powell | 2 | 1 | 0.000002550500 | PASSED | 2
test6.in | Greedy | 2 | 1 | 0.000001044799 | PASSED | 2
test7.in | Backtracking | 2 | 1 | 0.000001843400 | PASSED | 2
test7.in | Welsh-Powell | 2 | 1 | 0.000002259400 | PASSED | 2
test7.in | Greedy | 2 | 1 | 0.000000953400 | PASSED | 2
test8.in | Backtracking | 2 | 1 | 0.000001733800 | PASSED | 2
test8.in | Welsh-Powell | 2 | 1 | 0.000002520700 | PASSED | 2
test8.in | Greedy | 2 | 1 | 0.000000926200 | PASSED | 2
test9.in | Backtracking | 2 | 1 | 0.000001701400 | PASSED | 2
test9.in | Welsh-Powell | 2 | 1 | 0.000003923500 | PASSED | 2
test9.in | Greedy | 2 | 1 | 0.000001450400 | PASSED | 2
test10.in | Backtracking | 2 | 1 | 0.000001939700 | PASSED | 2
test10.in | Welsh-Powell | 2 | 1 | 0.000002418500 | PASSED | 2
test10.in | Greedy | 2 | 1 | 0.000000950900 | PASSED | 2
test11.in | Backtracking | 3 | 3 | 0.000003596299 | PASSED | 3
test11.in | Welsh-Powell | 3 | 3 | 0.000003467500 | PASSED | 3
test11.in | Greedy | 3 | 3 | 0.000001309601 | PASSED | 3
test12.in | Backtracking | 3 | 3 | 0.000003735199 | PASSED | 3
test12.in | Welsh-Powell | 3 | 3 | 0.000003107900 | PASSED | 3
test12.in | Greedy | 3 | 3 | 0.000001309100 | PASSED | 3
test13.in | Backtracking | 3 | 2 | 0.000002338600 | PASSED | 2
test13.in | Welsh-Powell | 3 | 2 | 0.000002950500 | PASSED | 2
test13.in | Greedy | 3 | 2 | 0.000004350500 | PASSED | 2
test14.in | Backtracking | 3 | 3 | 0.000003804000 | PASSED | 3
test14.in | Welsh-Powell | 3 | 3 | 0.000003209300 | PASSED | 3
test14.in | Greedy | 3 | 3 | 0.000001287700 | PASSED | 3
test15.in | Backtracking | 3 | 3 | 0.000003853601 | PASSED | 3
test15.in | Welsh-Powell | 3 | 3 | 0.000003472100 | PASSED | 3
test15.in | Greedy | 3 | 3 | 0.000001815700 | PASSED | 3
test16.in | Backtracking | 4 | 4 | 0.000004037099 | PASSED | 3
test16.in | Welsh-Powell | 4 | 4 | 0.000003977700 | PASSED | 3
test16.in | Greedy | 4 | 4 | 0.000001559901 | PASSED | 3
test17.in | Backtracking | 4 | 6 | 0.000010892700 | PASSED | 4
test17.in | Welsh-Powell | 4 | 6 | 0.000004213500 | PASSED | 4
test17.in | Greedy | 4 | 6 | 0.000001670500 | PASSED | 4
test18.in | Backtracking | 4 | 6 | 0.000012054499 | PASSED | 4
test18.in | Welsh-Powell | 4 | 6 | 0.000004305500 | PASSED | 4
test18.in | Greedy | 4 | 6 | 0.000001688700 | PASSED | 4
test19.in | Backtracking | 4 | 6 | 0.000010898799 | PASSED | 4
test19.in | Welsh-Powell | 4 | 6 | 0.000008718299 | PASSED | 4
test19.in | Greedy | 4 | 6 | 0.000006398101 | PASSED | 4
test20.in | Backtracking | 4 | 6 | 0.000024659300 | PASSED | 4
test20.in | Welsh-Powell | 4 | 6 | 0.000030702601 | PASSED | 4
test20.in | Greedy | 4 | 6 | 0.000003830700 | PASSED | 4
test21.in | Backtracking | 5 | 7 | 0.000008375500 | PASSED | 3
test21.in | Welsh-Powell | 5 | 7 | 0.000005596300 | PASSED | 3
test21.in | Greedy | 5 | 7 | 0.000002457801 | FAILED | 4
test22.in | Backtracking | 5 | 8 | 0.000005235700 | PASSED | 3
test22.in | Welsh-Powell | 5 | 8 | 0.000009301200 | PASSED | 3
test22.in | Greedy | 5 | 8 | 0.000002481301 | PASSED | 3
test23.in | Backtracking | 5 | 9 | 0.000016580500 | PASSED | 4
test23.in | Welsh-Powell | 5 | 9 | 0.000006322700 | PASSED | 4
test23.in | Greedy | 5 | 9 | 0.000002599799 | PASSED | 4
test24.in | Backtracking | 5 | 9 | 0.000013401901 | PASSED | 4
test24.in | Welsh-Powell | 5 | 9 | 0.000006357301 | PASSED | 4
test24.in | Greedy | 5 | 9 | 0.000002348500 | PASSED | 4
test25.in | Backtracking | 5 | 10 | 0.000054252201 | PASSED | 5
test25.in | Welsh-Powell | 5 | 10 | 0.000006434899 | PASSED | 5
test25.in | Greedy | 5 | 10 | 0.000002511299 | PASSED | 5
test26.in | Backtracking | 6 | 10 | 0.000007281900 | PASSED | 3
test26.in | Welsh-Powell | 6 | 10 | 0.000005904900 | PASSED | 3
test26.in | Greedy | 6 | 10 | 0.000002417599 | PASSED | 3
test27.in | Backtracking | 6 | 13 | 0.000016327700 | PASSED | 4
test27.in | Welsh-Powell | 6 | 13 | 0.000010948300 | PASSED | 4
test27.in | Greedy | 6 | 13 | 0.000002953401 | PASSED | 4
